Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Paty do Alferes,Rio de Janeiro,119,29619 hab.,"314,341km²","94,2hab./km²","0,671",https://pt.wikipedia.org/wiki/Paty_do_Alferes
Paraíba do Sul,Rio de Janeiro,138,42063 hab.,"571,118km²","73,7hab./km²","0,702",https://pt.wikipedia.org/wiki/Para%C3%ADba_do_Sul
Paraty,Rio de Janeiro,258,45243 hab.,"924,296km²","48,9hab./km²","0,693",https://pt.wikipedia.org/wiki/Paraty
Paracambi,Rio de Janeiro,81,41375 hab.,"190,949km²","216,7hab./km²","0,720",https://pt.wikipedia.org/wiki/Paracambi
Nilópolis,Rio de Janeiro,"37,8",162893 hab.,"19,393km²","8399,6hab./km²","0,753",https://pt.wikipedia.org/wiki/Nil%C3%B3polis
Nova Iguaçu,Rio de Janeiro,40,843046 hab.,"520,581km²","1619,4hab./km²","0,713",https://pt.wikipedia.org/wiki/Nova_Igua%C3%A7u
Nova Friburgo,Rio de Janeiro,136,189939 hab.,"935,429km²","203,1hab./km²","0,745",https://pt.wikipedia.org/wiki/Nova_Friburgo
Niterói,Rio de Janeiro,15,481749 hab.,"133,757km²","3601,7hab./km²","0,837",https://pt.wikipedia.org/wiki/Niter%C3%B3i
Miguel Pereira,Rio de Janeiro,120,25522 hab.,"287,933km²","88,6hab./km²","0,745",https://pt.wikipedia.org/wiki/Miguel_Pereira
Mesquita,Rio de Janeiro,24,177016 hab.,"41,490km²","4266,5hab./km²","0,737",https://pt.wikipedia.org/wiki/Mesquita_(Rio_de_Janeiro)
Mendes,Rio de Janeiro,92,"17,502 hab.","95,324km²","0,2hab./km²","0,736",https://pt.wikipedia.org/wiki/Mendes
Natividade,Rio de Janeiro,333,15082 hab.,"387,026km²",39hab./km²,"0,730",https://pt.wikipedia.org/wiki/Natividade_(Rio_de_Janeiro)
Miracema,Rio de Janeiro,271,26829 hab.,"303,353km²","88,4hab./km²","0,733",https://pt.wikipedia.org/wiki/Miracema
Mangaratiba,Rio de Janeiro,85,41220 hab.,"356,408km²","115,7hab./km²","0,753",https://pt.wikipedia.org/wiki/Mangaratiba
Maricá,Rio de Janeiro,60,197277 hab.,361572km²,"0,5hab./km²","0,765",https://pt.wikipedia.org/wiki/Maric%C3%A1
Magé,Rio de Janeiro,50,228127 hab.,"390,775km²","583,8hab./km²","0,709",https://pt.wikipedia.org/wiki/Mag%C3%A9
Macuco,Rio de Janeiro,210,5415 hab.,"78,364km²","69,1hab./km²","0,703",https://pt.wikipedia.org/wiki/Macuco_(Rio_de_Janeiro)
Itatiaia,Rio de Janeiro,174,29996 hab.,"224,957km²","133,3hab./km²","0,737",https://pt.wikipedia.org/wiki/Itatiaia
Japeri,Rio de Janeiro,70,96289 hab.,"82,832km²","1162,5hab./km²","0,659",https://pt.wikipedia.org/wiki/Japeri
